Sample,ecc,N,gammaG,Esoil,Econc,Dbot,H1,H2,H3,Mr_t,Mt_t,Mr_c,Mt_c
586,14.97064,4769.94228,1.06566,104.22969,35377.49782,22.02896,1.5216,1.81005,1.35071,-2.3561834457,-1.1863954369,4.3698745952,2.6110895409
587,19.94676,4769.94228,1.06566,104.22969,35377.49782,22.02896,1.5216,1.81005,1.35071,-3.4517031232,-1.8190888057,5.556923935,3.2368238933
588,25.2657,4769.94228,1.06566,104.22969,35377.49782,22.02896,1.5216,1.81005,1.35071,-4.6835007661,-2.4940986131,6.7604683266,3.9131483948
589,0,3270.3877,1.06774,44.95814,33973.86944,19.3072,1.1712,1.87503,0.86411,0.151711992,0.1183138855,0.151711992,0.1183138855
590,13.03708,3270.3877,1.06774,44.95814,33973.86944,19.3072,1.1712,1.87503,0.86411,-1.6320379434,-0.5790015108,2.3107365263,1.5390179341
591,16.32223,3270.3877,1.06774,44.95814,33973.86944,19.3072,1.1712,1.87503,0.86411,-2.1238412799,-0.8430503245,2.8161037331,1.8051212246
592,23.38674,3270.3877,1.06774,44.95814,33973.86944,19.3072,1.1712,1.87503,0.86411,-2.9148641879,-1.4692014643,4.0732731893,2.3730050783
593,0,4244.61581,1.09671,107.16777,33780.3606,21.23565,1.11647,1.73443,1.36346,0.1671361754,0.1243484098,0.1671361754,0.1243484098
594,14.01429,4244.61581,1.09671,107.16777,33780.3606,21.23565,1.11647,1.73443,1.36346,-1.9018048109,-0.9393694292,3.1424367603,2.113785392
595,18.1601,4244.61581,1.09671,107.16777,33780.3606,21.23565,1.11647,1.73443,1.36346,-2.7345893991,-1.3874522153,3.9855799203,2.5664170111
596,23.20638,4244.61581,1.09671,107.16777,33780.3606,21.23565,1.11647,1.73443,1.36346,-3.7439809227,-1.937400716,5.0131988752,3.1172757071
597,0,4862.62639,1.02026,77.87982,30300.97937,22.6485,1.26891,1.70003,1.53991,0.1876451353,0.1410328099,0.1876451353,0.1410328099
598,14.4554,4862.62639,1.02026,77.87982,30300.97937,22.6485,1.26891,1.70003,1.53991,-2.6521861105,-1.1814296844,3.639501213,2.4938919136
599,19.72395,4862.62639,1.02026,77.87982,30300.97937,22.6485,1.26891,1.70003,1.53991,-3.8580187701,-1.8485604579,4.9197245636,3.1690048413
600,25.03732,4862.62639,1.02026,77.87982,30300.97937,22.6485,1.26891,1.70003,1.53991,-4.9787007606,-2.5285470505,6.2631334074,3.8506930855
601,0,2019.81688,0.92819,36.74173,33775.06958,20.73399,1.12732,1.11626,1.41982,0.1356335349,0.0923049831,0.1356335349,0.0923049831
602,13.57181,2019.81688,0.92819,36.74173,33775.06958,20.73399,1.12732,1.11626,1.41982,-1.0743174681,-0.4013951641,1.4493827142,0.8976445862
603,17.15285,2019.81688,0.92819,36.74173,33775.06958,20.73399,1.12732,1.11626,1.41982,-1.3842125647,-0.5690561331,1.7840794639,1.0690782448
