Sample,ecc,N,gammaG,Esoil,Econc,Dbot,H1,H2,H3,Mr_t,Mt_t,Mr_c,Mt_c
84,26,2000,1.1,25,30000,17,0.8,1,1.2,-1.5083050151,-0.8578417084,2.6311439445,1.3075503479
85,0,2000,1.1,25,37000,17,0.8,1,1.2,0.0403194769,0.0238690209,0.0403194769,0.0238690209
86,10,2000,1.1,25,37000,17,0.8,1,1.2,-0.5669598224,-0.2424351563,0.9728930848,0.5841977293
87,18,2000,1.1,25,37000,17,0.8,1,1.2,-1.1899484733,-0.5722278532,1.7073104572,0.9321437354
88,26,2000,1.1,25,37000,17,0.8,1,1.2,-1.5071854313,-0.8579508436,2.6378963708,1.3098960041
89,0,2000,1.1,75,30000,17,0.8,1,1.2,0.0380841176,0.0224981929,0.0380841176,0.0224981929
90,10,2000,1.1,75,30000,17,0.8,1,1.2,-0.582396991,-0.2502416224,0.8611981517,0.5580231666
91,18,2000,1.1,75,30000,17,0.8,1,1.2,-1.2077809805,-0.5757099801,1.5521068047,0.8910347007
92,26,2000,1.1,75,30000,17,0.8,1,1.2,-1.452717592,-0.8527592964,2.5126639034,1.2633658972
93,0,2000,1.1,75,37000,17,0.8,1,1.2,0.0381605374,0.0225467853,0.0381605374,0.0225467853
94,10,2000,1.1,75,37000,17,0.8,1,1.2,-0.5837311699,-0.2500428633,0.8614620118,0.5591462808
95,18,2000,1.1,75,37000,17,0.8,1,1.2,-1.2087968449,-0.5758012723,1.5545634789,0.893157717
96,26,2000,1.1,75,37000,17,0.8,1,1.2,-1.4507513874,-0.8522767331,2.5207098248,1.2668366342
97,0,5000,0.9,25,30000,17,0.8,1,1.2,0.1095202815,0.0680900062,0.1095202815,0.0680900062
98,10,5000,0.9,25,30000,17,0.8,1,1.2,-1.2825910692,-0.647985902,2.8539886759,1.4505848549
99,18,5000,0.9,25,30000,17,0.8,1,1.2,-2.1401804976,-1.3598996981,5.4146882275,2.4276541427
100,26,5000,0.9,25,30000,17,0.8,1,1.2,-3.1038225256,-2.0869987178,8.2409312474,3.4119667873
101,0,5000,0.9,25,37000,17,0.8,1,1.2,0.1105566937,0.0689065096,0.1105566937,0.0689065096
102,10,5000,0.9,25,37000,17,0.8,1,1.2,-1.2792039127,-0.6475547606,2.8700506415,1.4536086271
103,18,5000,0.9,25,37000,17,0.8,1,1.2,-2.1342236166,-1.3586685629,5.4296239427,2.4326195242
104,26,5000,0.9,25,37000,17,0.8,1,1.2,-3.0980073942,-2.085918475,8.2653863525,3.4170110719
